이름,유형,리뷰 수,주소,영업 시간,포장 가능 여부,반려동물 동반 가능 여부,메뉴
프리퍼,"카페,디저트","['별점\n4.56', '방문자 리뷰 946', '블로그 리뷰 881']",서울 서초구 반포대로5길 4 성원빌딩 1층,"[{'day': '화', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '수', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '목', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '금', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '토', 'hours': '09:00 - 21:00\n20:30 라스트오더'}, {'day': '일', 'hours': '09:00 - 21:00\n20:30 라스트오더'}, {'day': '월', 'hours': '08:00 - 21:00\n20:30 라스트오더'}]",False,False,"['크림 드 코코', '인절미 티라미수', '동키모카', '로얄 블랙 밀크티']"
비파티세리 센트럴시티점,베이커리,"['별점\n4.47', '방문자 리뷰 4,107', '블로그 리뷰 479']",서울 서초구 신반포로 176 신세계 센트럴시티 1층 116호,"[{'day': '매일', 'hours': '08:00 - 21:30\n21:00 라스트오더'}]",True,False,"['퀸아망 베리 크림치즈', '퀸아망 클래식', '조청 피칸파이', '시나몬 롤']"
오쎄,"카페,디저트","['방문자 리뷰 2,108', '블로그 리뷰 1,286']","서울 서초구 방배천로4안길 32 1&2층 카페, 테라스 카페","[{'day': '화', 'hours': '11:00 - 23:00\n22:00 라스트오더'}, {'day': '수', 'hours': '11:00 - 23:00\n22:00 라스트오더'}, {'day': '목', 'hours': '11:00 - 23:00\n22:00 라스트오더'}, {'day': '금', 'hours': '11:00 - 23:00\n22:00 라스트오더'}, {'day': '토', 'hours': '11:00 - 23:00\n22:00 라스트오더'}, {'day': '일', 'hours': '11:00 - 23:00\n22:00 라스트오더'}, {'day': '월', 'hours': '11:00 - 23:00\n22:00 라스트오더'}]",True,False,"['블루레모네이드', '청포도라떼', '리치베라블랜딩티', '바닐라빈 라떼']"
몬탁,베이커리,"['방문자 리뷰 476', '블로그 리뷰 582']",서울 서초구 서초대로32길 8 1층,"[{'day': '화', 'hours': '09:00 - 19:30'}, {'day': '수', 'hours': '09:00 - 19:30'}, {'day': '목', 'hours': '09:00 - 19:30'}, {'day': '금', 'hours': '09:00 - 19:30'}, {'day': '토', 'hours': '09:00 - 19:30'}, {'day': '일', 'hours': '09:00 - 19:30'}, {'day': '월', 'hours': '09:00 - 19:30'}]",True,False,"['휘낭시에', '레몬 마들렌', '까눌레', '몬탁 쿠키']"
담장옆에국화꽃 파미에점,"카페,디저트","['별점\n4.51', '방문자 리뷰 3,236', '블로그 리뷰 690']",서울 서초구 사평대로 205 센트럴시티 파미에스테이션 2층,"[{'day': '화', 'hours': '10:00 - 21:30\n21:00 라스트오더'}, {'day': '수', 'hours': '10:00 - 21:30\n21:00 라스트오더'}, {'day': '목', 'hours': '10:00 - 21:30\n21:00 라스트오더'}, {'day': '금', 'hours': '10:00 - 21:30\n21:00 라스트오더'}, {'day': '토', 'hours': '10:00 - 21:30\n21:00 라스트오더'}, {'day': '일', 'hours': '10:00 - 21:30\n21:00 라스트오더'}, {'day': '월', 'hours': '10:00 - 21:30\n21:00 라스트오더'}]",True,False,"['밤크림 모나카', '공주 보늬밤 빙수', '단팥죽 고속터미널', '녹차팥빙수 고속터미널']"
크리스피파이,"카페,디저트","['별점\n4.53', '방문자 리뷰 166', '블로그 리뷰 42']",서울 서초구 효령로 258,"[{'day': '화', 'hours': '09:00 - 20:00'}, {'day': '수', 'hours': '09:00 - 20:00'}, {'day': '목', 'hours': '09:00 - 20:00'}, {'day': '금', 'hours': '09:00 - 20:00'}, {'day': '토', 'hours': '09:00 - 17:30'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '09:00 - 20:00'}]",True,False,"['피칸 파이', '초코 퍼지 타르트', '블루베리 소보루', '딸기 타르트(계절)']"
쿄 베이커리 X 카페더인피닛,베이커리,"['별점\n4.46', '방문자 리뷰 2,441', '블로그 리뷰 546']",서울 서초구 사평대로58길 6,"[{'day': '정보 없음', 'hours': '정보 없음'}]",True,False,"['WHITE', '애기궁둥이', 'BLACK', '후르츠건강빵']"
레프레미스,"카페,디저트","['별점\n4.49', '방문자 리뷰 494', '블로그 리뷰 313']",서울 서초구 남부순환로337길 36 1층,"[{'day': '화', 'hours': '11:30 - 19:00'}, {'day': '수', 'hours': '11:30 - 19:00'}, {'day': '목', 'hours': '11:30 - 19:00'}, {'day': '금', 'hours': '11:30 - 19:00'}, {'day': '토', 'hours': '11:30 - 19:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",True,False,"['프랑스정통마카롱 6개입 ( 노밀가루 고급선물세트 )', '블루치즈', '바닐라', '유자']"
김영모과자점 서초동성당점,베이커리,"['별점\n4.45', '방문자 리뷰 2,444', '블로그 리뷰 336']",서울 서초구 서초대로64길 41-4,"[{'day': '정보 없음', 'hours': '정보 없음'}]",False,False,"['몽블랑', '바게트샌드위치', '마늘바게트', '소금빵']"
미니말레 뢰스터리&커피바 서초교대점,카페,"['방문자 리뷰 415', '블로그 리뷰 672']",서울 서초구 반포대로30길 70 1층,"[{'day': '화', 'hours': '08:00 - 20:00'}, {'day': '수', 'hours': '08:00 - 20:00'}, {'day': '목', 'hours': '08:00 - 20:00'}, {'day': '금', 'hours': '08:00 - 20:00'}, {'day': '토', 'hours': '09:00 - 19:00'}, {'day': '일', 'hours': '09:00 - 19:00'}, {'day': '월', 'hours': '08:00 - 20:00'}]",True,False,"['헬싱키 라떼 (시그니처)', '아메리카노 (밸런스)', '아메리카노 (듄켈)', '라떼']"
보아즈,브런치카페,"['방문자 리뷰 2,022', '블로그 리뷰 534']",서울 서초구 양재천로 53 1 2 3층,"[{'day': '정보 없음', 'hours': '정보 없음'}]",True,False,"['잠봉 모짜 파니니', '목살 샐러드', '아메리카노', '베이글']"
로즈드메,"카페,디저트","['방문자 리뷰 392', '블로그 리뷰 137']",서울 서초구 방배천로4안길 61 1층,"[{'day': '화(11/12)', 'hours': '휴무'}, {'day': '수', 'hours': '11:00 - 20:00\n19:30 라스트오더'}, {'day': '목', 'hours': '11:00 - 20:00\n19:30 라스트오더'}, {'day': '금', 'hours': '11:00 - 20:00\n19:30 라스트오더'}, {'day': '토', 'hours': '11:00 - 20:00\n19:30 라스트오더'}, {'day': '일', 'hours': '11:00 - 20:00\n19:30 라스트오더'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",True,True,"['두바이 초코 휘낭시에(찐 카다이프면)', '클래식 휘낭시에', '무화과 크림치즈 휘낭시에', '고급 (박스 포장+ 쇼핑백) 6구']"
토비커피,"카페,디저트","['별점\n4.63', '방문자 리뷰 793', '블로그 리뷰 294']",서울 서초구 방배천로24길 11 1층 토비커피,"[{'day': '화', 'hours': '10:00 - 22:00'}, {'day': '수', 'hours': '10:00 - 22:00'}, {'day': '목', 'hours': '10:00 - 22:00'}, {'day': '금', 'hours': '10:00 - 22:00'}, {'day': '토', 'hours': '12:00 - 22:00'}, {'day': '일', 'hours': '10:00 - 22:00'}, {'day': '월', 'hours': '10:00 - 22:00'}]",True,False,"['아메리카노', '라떼', '바닐라라떼', '플랫화이트']"
도마 베이커리 앤 테스트키친,베이커리,"['별점\n4.61', '방문자 리뷰 466', '블로그 리뷰 223']",서울 서초구 강남대로23길 12 1층~3층,"[{'day': '화', 'hours': '11:00 - 21:00\n14:00 - 17:30 브레이크타임\n20:00 라스트오더'}, {'day': '수', 'hours': '11:00 - 21:00\n14:00 - 17:30 브레이크타임\n20:00 라스트오더'}, {'day': '목', 'hours': '11:00 - 21:00\n14:00 - 17:30 브레이크타임\n20:00 라스트오더'}, {'day': '금', 'hours': '11:00 - 21:00\n14:00 - 17:30 브레이크타임\n20:00 라스트오더'}, {'day': '토', 'hours': '정기휴무 (매주 토요일)'}, {'day': '일', 'hours': '11:00 - 16:00\n15:00 라스트오더'}, {'day': '월', 'hours': '11:00 - 15:00\n14:00 라스트오더'}]",True,False,"['포르게타 BBQ 스테이크 플레이트', '평창 양송이 버섯 파스타', '당근라페 치킨 샐러드', '허브 마리네이드 치킨 바질크림 파스타']"
르뺑아쎄르,베이커리,"['별점\n4.54', '방문자 리뷰 1,250', '블로그 리뷰 274']",서울 서초구 서래로 17,"[{'day': '매일', 'hours': '08:00 - 22:00\n21:30 라스트오더'}]",True,False,"['아메리카노', '티', '베이커리류']"
카페 그린포레스트,카페,"['방문자 리뷰 33', '블로그 리뷰 35']",서울 서초구 청룡마을길 47 1층,"[{'day': '화', 'hours': '11:30 - 19:30'}, {'day': '수', 'hours': '11:30 - 19:30'}, {'day': '목', 'hours': '11:30 - 19:30'}, {'day': '금', 'hours': '11:30 - 19:30'}, {'day': '토', 'hours': '11:30 - 19:30'}, {'day': '일', 'hours': '11:30 - 19:30'}, {'day': '월', 'hours': '11:30 - 19:30'}]",True,True,"['오레오 테린느', '말차 테린느', '초코 테린느', '치즈 테린느']"
베키아에누보 강남점,케이크전문,"['별점\n4.39', '방문자 리뷰 687', '블로그 리뷰 352']",서울 서초구 신반포로 176 신세계백화점 강남점 1M 메짜닌층,"[{'day': '화', 'hours': '10:30 - 20:00'}, {'day': '수', 'hours': '10:30 - 20:00'}, {'day': '목', 'hours': '10:30 - 20:00'}, {'day': '금', 'hours': '10:30 - 20:30'}, {'day': '토', 'hours': '10:30 - 20:30'}, {'day': '일', 'hours': '10:30 - 20:30'}, {'day': '월', 'hours': '10:30 - 20:00'}]",True,False,"['블랙 누들 파스타', '브리&가지 파니니', '치킨 커리 샌드위치', '치킨 토스타다']"
김씨부인,"카페,디저트","['방문자 리뷰 141', '블로그 리뷰 182']",서울 서초구 서래로1길 8 트윈빌 B동 2층,"[{'day': '화', 'hours': '09:00 - 19:00\n18:00 라스트오더'}, {'day': '수', 'hours': '09:00 - 19:00\n18:00 라스트오더'}, {'day': '목', 'hours': '09:00 - 19:00\n18:00 라스트오더'}, {'day': '금', 'hours': '09:00 - 19:00\n18:00 라스트오더'}, {'day': '토', 'hours': '09:00 - 19:00\n18:00 라스트오더'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '09:00 - 19:00\n18:00 라스트오더'}]",True,False,"['계절소반차림', '소반차림(시그니처)', '백자합', '다식구절백자합']"
카카오앤티,초콜릿전문점,"['방문자 리뷰 13', '블로그 리뷰 61']",서울 서초구 서초대로40길 48-20 1층 코너 104호,"[{'day': '화', 'hours': '11:00 - 19:00'}, {'day': '수', 'hours': '11:00 - 19:00'}, {'day': '목', 'hours': '11:00 - 19:00'}, {'day': '금', 'hours': '11:00 - 19:00'}, {'day': '토(11/16)', 'hours': '휴무'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '11:00 - 19:00'}]",True,False,"['리얼초콜릿 초코송이 Mix', '아몬드 드라제초콜릿', '리얼초코프레첼', '아이스 리얼초콜릿 (음료)']"
쏘스윗 강남,"카페,디저트","['방문자 리뷰 19', '블로그 리뷰 260']",서울 서초구 강남대로 455 강남태영데시앙루브 지하1층 110호 쏘스윗 강남,"[{'day': '화', 'hours': '10:30 - 20:00'}, {'day': '수', 'hours': '10:30 - 20:00'}, {'day': '목', 'hours': '10:30 - 20:00'}, {'day': '금', 'hours': '10:30 - 20:00'}, {'day': '토', 'hours': '10:30 - 18:00'}, {'day': '일', 'hours': '10:30 - 18:00'}, {'day': '월', 'hours': '10:30 - 20:00'}]",True,True,"['도시락형 케이크', '박스형 케이크', '쏘스윗 마카롱', '티아라 케이크']"
바게틴,베이커리,"['방문자 리뷰 178', '블로그 리뷰 125']",서울 서초구 방배로 58 103호(방배동),"[{'day': '화', 'hours': '08:30 - 20:00'}, {'day': '수', 'hours': '08:30 - 20:00'}, {'day': '목', 'hours': '08:30 - 20:00'}, {'day': '금', 'hours': '08:30 - 20:00'}, {'day': '토', 'hours': '09:00 - 20:00'}, {'day': '일', 'hours': '09:00 - 20:00'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",True,False,"['시간표', '깜빠뉴 (플레인)', '깜빠뉴 (호두,크렌베리)', '바게틴 (호두,블루베리)(2피스)']"
스타벅스 파미에파크R점,카페,"['별점\n4.48', '방문자 리뷰 8,147', '블로그 리뷰 1,274']",서울 서초구 사평대로 205 (반포동) CENTRALCITY,"[{'day': '화(11/12)', 'hours': '06:30 - 22:00'}, {'day': '수(11/13)', 'hours': '06:30 - 22:00'}, {'day': '목(11/14)', 'hours': '06:30 - 22:00'}, {'day': '금(11/15)', 'hours': '06:30 - 22:00'}, {'day': '토(11/16)', 'hours': '07:00 - 22:00'}, {'day': '일(11/17)', 'hours': '08:00 - 22:00'}, {'day': '월(11/18)', 'hours': '06:30 - 22:00'}]",False,False,"['토피 넛 라떼', '스타벅스 딸기 라떼', '골든 캐모마일 릴렉서', '산타 베어리스타 케이크']"
라파티세리킴,베이커리,"['별점\n4.4', '방문자 리뷰 1,464', '블로그 리뷰 237']",서울 서초구 방배로 16 주심빌딩 1층,"[{'day': '화', 'hours': '08:00 - 22:00'}, {'day': '수', 'hours': '08:00 - 22:00'}, {'day': '목', 'hours': '08:00 - 22:00'}, {'day': '금', 'hours': '08:00 - 22:00'}, {'day': '토', 'hours': '08:00 - 22:00'}, {'day': '일', 'hours': '08:00 - 22:00'}, {'day': '월', 'hours': '08:00 - 22:00'}]",True,False,"['먹물크림치즈바게트', '쑥떡빵', '소금빵', '몽블랑']"
로야디,"카페,디저트","['별점\n4.69', '방문자 리뷰 51', '블로그 리뷰 30']",서울 서초구 반포대로21길 57 1층,"[{'day': '화', 'hours': '11:00 - 19:00'}, {'day': '수', 'hours': '11:00 - 19:00'}, {'day': '목', 'hours': '11:00 - 19:00'}, {'day': '금', 'hours': '11:00 - 19:00'}, {'day': '토', 'hours': '11:00 - 19:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '11:00 - 19:00'}]",True,False,"['쑥 찰떡브라우니(글루텐프리)', '오렌지초코 찰떡브라우니(글루텐프리)', '황치즈 찰떡브라우니(글루텐프리)', '솔티카라멜 찰떡브라우니(글루텐프리)']"
포비 강남점,베이커리,"['별점\n4.48', '방문자 리뷰 5,184', '블로그 리뷰 939']",서울 서초구 사평대로 205 센트럴시티 파미에스테이션 1층 106호,"[{'day': '매일', 'hours': '08:00 - 22:00\n21:30 라스트오더'}]",False,False,"['잠봉뵈르 샌드위치', '허니밀크 베이글', '무화과 스프레드', '광화문 라떼']"
댕크,"카페,디저트","['방문자 리뷰 889', '블로그 리뷰 160']",서울 서초구 사평대로57길 96 1층 댕크,"[{'day': '매일', 'hours': '07:00 - 24:00\n23:50 라스트오더'}]",True,True,"['아메리카노', '""NEW"" 레몬 마들렌', '츄러스 까눌레', '리치 바닐라라떼']"
브레댄코 내방본점,베이커리,"['별점\n4.42', '방문자 리뷰 2,871', '블로그 리뷰 151']",서울 서초구 방배로 166 한승빌딩 1층,"[{'day': '화', 'hours': '07:00 - 21:00\n20:00 라스트오더'}, {'day': '수', 'hours': '07:00 - 21:00\n20:00 라스트오더'}, {'day': '목', 'hours': '07:00 - 21:00\n20:00 라스트오더'}, {'day': '금', 'hours': '07:00 - 21:00\n20:00 라스트오더'}, {'day': '토', 'hours': '07:30 - 21:00\n20:00 라스트오더'}, {'day': '일', 'hours': '07:30 - 21:00\n20:00 라스트오더'}, {'day': '월', 'hours': '07:00 - 21:00\n20:00 라스트오더'}]",True,False,"['믹스커피', '매콤 치킨 또띠아', '하와이안 피자 바게트', '오리지널 피자 바게트']"
바타드브레드,베이커리,"['별점\n4.69', '방문자 리뷰 355', '블로그 리뷰 94']",서울 서초구 효령로70길 36-27 1층,"[{'day': '화', 'hours': '08:00 - 20:00'}, {'day': '수', 'hours': '08:00 - 20:00'}, {'day': '목', 'hours': '08:00 - 20:00'}, {'day': '금', 'hours': '08:00 - 20:00'}, {'day': '토', 'hours': '08:00 - 20:00'}, {'day': '일', 'hours': '08:00 - 20:00'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",False,False,"['바타드 사워도우', '스페셜 사워도우', '사워도우치아바타', '델리 스프']"
밤부 베이커리&브루잉 서래,"카페,디저트","['별점\n4.44', '방문자 리뷰 1,111', '블로그 리뷰 491']",서울 서초구 동광로 77,"[{'day': '화', 'hours': '10:00 - 21:00'}, {'day': '수', 'hours': '10:00 - 21:00'}, {'day': '목', 'hours': '10:00 - 21:00'}, {'day': '금', 'hours': '10:00 - 21:00'}, {'day': '토', 'hours': '10:00 - 21:00'}, {'day': '일', 'hours': '10:00 - 21:00'}, {'day': '월', 'hours': '10:00 - 21:00'}]",True,False,['메뉴 정보 없음']
JW 메리어트 호텔 서울 카페 원,"카페,디저트","['별점\n4.74', '방문자 리뷰 419', '블로그 리뷰 232']",서울 서초구 신반포로 176 JW 메리어트 호텔 서울 1층,"[{'day': '매일', 'hours': '08:00 - 20:00'}]",True,False,['메뉴 정보 없음']
카페참새방앗간,"카페,디저트","['별점\n4.81', '방문자 리뷰 682', '블로그 리뷰 474']",서울 서초구 방배천로4안길 66 1층,"[{'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '11:00 - 22:00'}, {'day': '목', 'hours': '11:00 - 22:00'}, {'day': '금', 'hours': '11:00 - 22:00'}, {'day': '토', 'hours': '11:00 - 22:00'}, {'day': '일', 'hours': '11:00 - 22:00'}, {'day': '월', 'hours': '11:00 - 22:00'}]",True,False,"['미니케이크', '쌀)생망고듬뿍 케이크 ㅡ원판', '쌀)생망고 듬뿍 케이크_조각', '쌀)브라우니']"
테오브로마 쇼콜라티에,초콜릿전문점,"['방문자 리뷰 132', '블로그 리뷰 616']",서울 서초구 신반포로43길 23-18 2층,"[{'day': '화(11/12)', 'hours': '09:00 - 20:00'}, {'day': '수(11/13)', 'hours': '09:00 - 20:00'}, {'day': '목(11/14)', 'hours': '09:00 - 20:00'}, {'day': '금', 'hours': '09:00 - 18:00'}, {'day': '토(11/16)', 'hours': '10:00 - 18:00'}, {'day': '일(11/17)', 'hours': '10:00 - 18:00'}, {'day': '월', 'hours': '09:00 - 18:00'}]",True,False,['메뉴 정보 없음']
세컨클락,"카페,디저트","['별점\n4.5', '방문자 리뷰 915', '블로그 리뷰 214']",서울 서초구 청룡마을길 41,"[{'day': '화', 'hours': '10:00 - 18:00'}, {'day': '수', 'hours': '10:00 - 18:00'}, {'day': '목', 'hours': '10:00 - 18:00'}, {'day': '금', 'hours': '10:00 - 18:00'}, {'day': '토', 'hours': '10:00 - 18:00'}, {'day': '일', 'hours': '10:00 - 18:00'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",True,True,"['에이드', '아인슈페너', '카페라떼', '아메리카노']"
하프커피 파미에스테이션,카페,"['별점\n4.5', '방문자 리뷰 6,986', '블로그 리뷰 1,494']",서울 서초구 사평대로 205 센트럴시티 파미에스테이션 2층 FP212호,"[{'day': '매일', 'hours': '10:00 - 22:00\n21:30 라스트오더'}]",False,False,"['버터크림라떼', '버터크림라떼 Large', '바나나크림라떼', '말차크림라떼']"
홍종흔베이커리 서초점,베이커리,"['별점\n4.23', '방문자 리뷰 1,637', '블로그 리뷰 63']",서울 서초구 효령로 229 1층,"[{'day': '화', 'hours': '08:00 - 22:00'}, {'day': '수', 'hours': '08:00 - 22:00'}, {'day': '목', 'hours': '08:00 - 22:00'}, {'day': '금', 'hours': '08:00 - 22:00'}, {'day': '토', 'hours': '08:00 - 22:00'}, {'day': '일', 'hours': '08:00 - 22:00'}, {'day': '월', 'hours': '08:00 - 22:00'}]",False,False,['메뉴 정보 없음']
올라하이,"카페,디저트","['별점\n4.61', '방문자 리뷰 316', '블로그 리뷰 273']",서울 서초구 방배천로6길 19 1층 올라하이,"[{'day': '화', 'hours': '12:00 - 22:00'}, {'day': '수', 'hours': '12:00 - 22:00'}, {'day': '목', 'hours': '12:00 - 22:00'}, {'day': '금', 'hours': '12:00 - 22:00'}, {'day': '토', 'hours': '12:00 - 22:00'}, {'day': '일', 'hours': '12:00 - 22:00'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",True,True,['메뉴 정보 없음']
부창제과 신세계백화점 강남점,호두과자,"['방문자 리뷰 12', '블로그 리뷰 24']",서울 서초구 신반포로 176 강남신세계백화점 지하 1층,"[{'day': '화', 'hours': '10:30 - 20:00'}, {'day': '수', 'hours': '10:30 - 20:00'}, {'day': '목', 'hours': '10:30 - 20:00'}, {'day': '금', 'hours': '10:30 - 20:30'}, {'day': '토', 'hours': '10:30 - 20:30'}, {'day': '일', 'hours': '10:30 - 20:30'}, {'day': '월', 'hours': '10:30 - 20:00'}]",True,False,"['우유니소금 호두과자', '1963 부창라떼', '센베이 아이스께끼', '팥앙금 호두과자']"
토다 베이글 서초점,베이글,"['별점\n4.55', '방문자 리뷰 989', '블로그 리뷰 306']",서울 서초구 반포대로14길 26 드림타워 1층,"[{'day': '화', 'hours': '08:00 - 20:30\n19:30 라스트오더'}, {'day': '수', 'hours': '08:00 - 20:30\n19:30 라스트오더'}, {'day': '목', 'hours': '08:00 - 20:30\n19:30 라스트오더'}, {'day': '금', 'hours': '08:00 - 20:30\n19:30 라스트오더'}, {'day': '토', 'hours': '10:00 - 20:00\n19:00 라스트오더'}, {'day': '일', 'hours': '10:00 - 20:00\n19:00 라스트오더'}, {'day': '월', 'hours': '08:00 - 20:30\n19:30 라스트오더'}]",True,False,"['베이글', '크림치즈', '퍼플 주스', '클래식 모카']"
toudou 뚜두,초콜릿전문점,"['별점\n4.39', '방문자 리뷰 50', '블로그 리뷰 72']",서울 서초구 서래로5길 5 전곡빌딩 1층,"[{'day': '화', 'hours': '10:30 - 19:00\n18:50 라스트오더'}, {'day': '수', 'hours': '10:30 - 19:00\n18:50 라스트오더'}, {'day': '목', 'hours': '10:30 - 19:00\n18:50 라스트오더'}, {'day': '금', 'hours': '10:30 - 19:00\n18:50 라스트오더'}, {'day': '토', 'hours': '정기휴무 (매주 토요일)'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '10:30 - 19:00\n18:50 라스트오더'}]",False,False,"['뚜두샌드(toudou Sand)', '뚜두반점', 'nounours 누눅스 5구', '하트 4구 (4pcs)']"
룰커피,"카페,디저트","['별점\n4.75', '방문자 리뷰 619', '블로그 리뷰 201']",서울 서초구 반포대로7길 16 스타빌딩 1층,"[{'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '10:00 - 18:00'}, {'day': '목', 'hours': '10:00 - 18:00'}, {'day': '금', 'hours': '10:00 - 18:00'}, {'day': '토', 'hours': '10:00 - 18:00'}, {'day': '일', 'hours': '10:00 - 18:00'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",True,False,"['브루잉커피', '바스크치즈케이크', '아메리카노', '카페라떼']"
잔상,"카페,디저트","['별점\n4.93', '방문자 리뷰 443', '블로그 리뷰 477']",서울 서초구 언남1길 3 1층,"[{'day': '화', 'hours': '08:00 - 18:00'}, {'day': '수', 'hours': '08:00 - 21:00'}, {'day': '목', 'hours': '08:00 - 21:00'}, {'day': '금', 'hours': '08:00 - 21:00'}, {'day': '토', 'hours': '12:00 - 21:00'}, {'day': '일', 'hours': '12:00 - 18:00'}, {'day': '월', 'hours': '08:00 - 18:00'}]",False,False,['메뉴 정보 없음']
심재,"카페,디저트","['별점\n4.42', '방문자 리뷰 842', '블로그 리뷰 538']",서울 서초구 동산로2길 40,"[{'day': '화', 'hours': '09:00 - 22:00'}, {'day': '수', 'hours': '09:00 - 22:00'}, {'day': '목', 'hours': '09:00 - 22:00'}, {'day': '금', 'hours': '09:00 - 22:00'}, {'day': '토', 'hours': '11:00 - 22:00'}, {'day': '일', 'hours': '11:00 - 22:00'}, {'day': '월', 'hours': '09:00 - 22:00'}]",True,False,['메뉴 정보 없음']
쎄봉 크루아상 크로플마을,"카페,디저트","['별점\n5', '방문자 리뷰 546', '블로그 리뷰 333']",서울 서초구 방배천로2안길 45 1층,"[{'day': '매일', 'hours': '10:30 - 22:00'}]",True,False,"['진짜 카다이프로만든 두바이 크루아상', '오리지날 크로플', '피스타치오 초코 크루아상', '크루키']"
이탈리안썸머,브런치카페,"['방문자 리뷰 246', '블로그 리뷰 22']",서울 서초구 동산로2길 13 1층,"[{'day': '화', 'hours': '09:00 - 17:30\n17:00 라스트오더'}, {'day': '수', 'hours': '09:00 - 17:30\n17:00 라스트오더'}, {'day': '목', 'hours': '09:00 - 17:30\n17:00 라스트오더'}, {'day': '금', 'hours': '09:00 - 17:30\n17:00 라스트오더'}, {'day': '토', 'hours': '09:00 - 17:30\n17:00 라스트오더'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '09:00 - 17:30\n17:00 라스트오더'}]",True,False,['메뉴 정보 없음']
액트커피,"카페,디저트","['별점\n4.49', '방문자 리뷰 309', '블로그 리뷰 307']",서울 서초구 방배천로4안길 40 1층,"[{'day': '매일', 'hours': '12:00 - 22:00\n21:15 라스트오더'}]",False,True,['메뉴 정보 없음']
파티시안,"카페,디저트","['별점\n4.82', '방문자 리뷰 804', '블로그 리뷰 320']",서울 서초구 서초대로25길 37 1층,"[{'day': '화', 'hours': '11:30 - 21:00'}, {'day': '수', 'hours': '11:30 - 21:00'}, {'day': '목', 'hours': '11:30 - 21:00'}, {'day': '금', 'hours': '11:30 - 21:00'}, {'day': '토', 'hours': '12:00 - 21:00'}, {'day': '일', 'hours': '12:00 - 19:00'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",True,False,['메뉴 정보 없음']
노티드 강남카카오,카페,"['별점\n4.54', '방문자 리뷰 12,822', '블로그 리뷰 2,524']",서울 서초구 강남대로 429,"[{'day': '화', 'hours': '10:30 - 21:00'}, {'day': '수', 'hours': '10:30 - 21:00'}, {'day': '목', 'hours': '10:30 - 21:00'}, {'day': '금', 'hours': '10:30 - 21:00'}, {'day': '토', 'hours': '10:30 - 21:00'}, {'day': '일', 'hours': '10:30 - 21:00'}, {'day': '월', 'hours': '10:30 - 21:00'}]",True,True,['메뉴 정보 없음']
드렁큰빈,"카페,디저트","['방문자 리뷰 1,333', '블로그 리뷰 299']",서울 서초구 사평대로55길 56 드렁큰 빈 B1F-5F,"[{'day': '매일', 'hours': '10:00 - 22:00'}]",True,False,"['드렁큰 빈 콜드브루 바틀', '드렁큰 빈 콜드브루', '에스프레소', '아메리카노']"
파리크라상 반포서래점,베이커리,"['별점\n4.41', '방문자 리뷰 3,113', '블로그 리뷰 340']",서울 서초구 서래로5길 2 파리크라상 반포서래점,"[{'day': '매일', 'hours': '07:00 - 22:00'}]",True,False,['메뉴 정보 없음']
올웨이즈온,카페,"['별점\n4.66', '방문자 리뷰 759', '블로그 리뷰 214']",서울 서초구 방배천로8길 16-12 1층 카페,"[{'day': '화', 'hours': '11:00 - 22:00'}, {'day': '수', 'hours': '11:00 - 22:00'}, {'day': '목', 'hours': '11:00 - 22:00'}, {'day': '금', 'hours': '11:00 - 22:00'}, {'day': '토', 'hours': '11:00 - 22:00'}, {'day': '일', 'hours': '11:00 - 21:00'}, {'day': '월', 'hours': '11:00 - 22:00'}]",True,True,['메뉴 정보 없음']
